,rank,happiness_score,country
0,1,7.769,Finland
1,2,7.6,Denmark
2,3,7.553999999999999,Norway
3,4,7.494,Iceland
4,5,7.4879999999999995,Netherlands
5,6,7.48,Switzerland
6,7,7.343,Sweden
7,8,7.307,New Zealand
8,9,7.278,Canada
9,10,7.246,Austria
10,66,5.693,Portugal
11,69,5.631,Philippines
12,76,5.43,Hong Kong
13,77,5.425,Dominican Republic
14,79,5.372999999999999,Turkey
15,80,5.3389999999999995,Malaysia
16,82,5.287000000000001,Greece
17,92,5.192,Indonesia
18,94,5.175,Vietnam
19,106,4.7219999999999995,South Africa
